追求梦想的大猩猩,去年从头到尾追下来的番。笑中带泪轻松可爱中又学到知识，中间画风虽然有崩一两集，不过还是很圆满地结束。喜欢٩(˃̶͈̀௰˂̶͈́)و,1583491012,0,0,0,10
权颖HPZ,很好,1583479462,0,0,0,10
普通的老司机一枚,该死，一年之后怎么分越来越少了，完结的时候都还有9.8啊！,1583478169,0,0,0,10
肉嘟嘟的才最强,还行,1583476756,0,0,0,10
正经瓜ひ,要爱惜好自己的身体,1583474223,0,0,0,10
3141592653589Z,萌吐奶的血小板   超爱,1583470911,0,0,0,10
Herbhybrid,血小板~血小板~血小板~,1583469673,0,0,0,10
chihuo2104,一个字，爽！,1583463885,0,0,0,10
勘解由小路冬佳,好看(｡･ω･｡)ﾉ,1583460939,0,0,0,10
L_伊曼,血小板超阔爱！,1583459332,0,0,0,10
梦阁_,超厉害的番：作画精良、剧情有趣、各种要素齐全！,1583425184,0,0,0,10
叁伍5,挺有趣的 所有细胞都好可爱,1583420446,0,0,0,8
海呦兴,这动漫题材真是越来越多了，啥都有啊，不过血小板好可爱啊！巨噬细胞战斗力好强啊啊,1583412122,0,0,0,10
亿万冥币,说实话，趁看番的时候做眼保健操更好！,1583407177,0,0,0,10
varyKID,非常好，是猛男该看的，也是学生该看的,1583405653,0,0,0,10
itpluto,快出第二季啊啊啊啊啊啊,1583392655,0,0,0,10
和宠物有代沟的猫兔子君,非常有意思，是可以作为一部给小白科普的番剧,1583385314,0,0,0,10
觅云蓝天,有趣的科普番，还有血小板太可爱了,1580394473,0,0,0,10
概念Concept,勤奋的细胞组成了懒惰的我,1579715073,0,0,138,10
HRLee,nice,1583335937,0,0,0,10
半夜把酒凉初透,观感轻松，不错的科普日常番,1583334900,0,0,0,10
星-屑,这么好的番怎么才9.6?,1583332257,0,0,0,10
W好狗旺财W,我爱香菜,1583330947,0,0,0,10
威尔威廉,意外的很好看，还很符合大众的喜爱，是个受众还蛮广的好番。好番！强推！,1583307487,0,0,0,10
